Order_ID,Order_Date,Product,Category,Region,Quantity,Unit_Price,Sales
1001,2026-01-05,Laptop,Electronics,South,2,40000,80000
1002,2026-01-08,Mouse,Accessories,North,5,1000,5000
1003,2026-01-12,Keyboard,Accessories,South,3,2000,6000
1004,2026-02-02,Laptop,Electronics,West,1,40000,40000
1005,2026-02-10,Monitor,Electronics,South,2,12000,24000
1006,2026-02-15,Mouse,Accessories,East,10,1000,10000
1007,2026-03-01,Laptop,Electronics,North,2,40000,80000
1008,2026-03-07,Keyboard,Accessories,West,4,2000,8000
1009,2026-03-15,Monitor,Electronics,South,3,12000,36000
1010,2026-03-20,Mouse,Accessories,North,8,1000,8000
